bitcount,266631000.0,13
dijkstra,266631000.0,55
fft,340392000.0,62
hash,995520000.0,64
heap,995520000.0,64
jpegd,295764000.0,59
mm,324971000.0,46
patricia,351034000.0,53
qsort,368949000.0,62
sha,307907000.0,13
